evaluation_context,model_name,window_label,prediction_artifact,aoi_alert_overlap_index,true_positive_windows,false_positive_windows,false_negative_windows,true_negative_windows,attack_window_count,predicted_alert_window_count,evaluated_window_count,alert_coverage,alert_precision,notes
heldout_synthetic_zero_day_like_prediction_artifact,threshold_baseline,10s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/10s/threshold_baseline/predictions.parquet,0.3801980198019802,576,21,918,41680,1494,597,43195,0.3855421686746988,0.964824120603015,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,transformer,10s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/10s/transformer/predictions.parquet,0.03706744284399333,1490,38703,4,2995,1494,40193,43192,0.9973226238286479,0.03707113178911751,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,autoencoder,300s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/300s/autoencoder/predictions.parquet,0.06480648064806481,72,1038,1,324,73,1110,1435,0.9863013698630136,0.06486486486486487,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,gru,300s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/300s/gru/predictions.parquet,0.8333333333333334,65,5,8,1354,73,70,1432,0.8904109589041096,0.9285714285714286,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,isolation_forest,300s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/300s/isolation_forest/predictions.parquet,0.028731604765241767,41,1354,32,8,73,1395,1435,0.5616438356164384,0.02939068100358423,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,lstm,300s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/300s/lstm/predictions.parquet,0.8701298701298701,67,4,6,1355,73,71,1432,0.9178082191780822,0.9436619718309859,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,threshold_baseline,300s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/300s/threshold_baseline/predictions.parquet,0.5180722891566265,43,10,30,1352,73,53,1435,0.589041095890411,0.8113207547169812,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,transformer,300s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/300s/transformer/predictions.parquet,0.8076923076923077,63,5,10,1354,73,68,1432,0.863013698630137,0.9264705882352942,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,autoencoder,5s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/5s/autoencoder/predictions.parquet,0.07962044425274963,1846,20213,1126,63210,2972,22059,86395,0.6211305518169583,0.08368466385602248,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,gru,5s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/5s/gru/predictions.parquet,0.034428033593976254,2972,83353,0,67,2972,86325,86392,1.0,0.034428033593976254,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,isolation_forest,5s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/5s/isolation_forest/predictions.parquet,0.034400138896926905,2972,83423,0,0,2972,86395,86395,1.0,0.034400138896926905,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
