evaluation_context,canonical_or_extension,window_label,window_seconds,step_seconds,model_name,status,precision,recall,f1,average_precision,roc_auc,false_positive_rate,mean_detection_latency_seconds,median_detection_latency_seconds,inference_time_ms_per_prediction,ready_package_dir,metrics_source,notes,threshold,threshold_method,feature_count,seq_len,training_time_seconds,inference_time_seconds,parameter_count,model_size_bytes,evaluated_sequences,attack_sequences,prediction_path,true_positive,false_positive,true_negative,false_negative,train_sequences,val_sequences,test_sequences,heldout_sequences
canonical_benchmark_test_split,canonical,300s,300,60,autoencoder,completed,0.0986842105263157,0.8333333333333334,0.1764705882352941,0.4904806169417283,0.6683412135539795,0.9716312056737588,571.0,481.0,0.0069628931097276,<repo>/outputs\window_size_study\300s\ready_packages\autoencoder,<repo>/outputs\window_size_study\300s\ready_packages\autoencoder\metrics.json,Repo implementation is an MLP autoencoder; no LSTM autoencoder artifact exists.,,,,,,,,,,,,,,,,,,,
canonical_benchmark_test_split,canonical,300s,300,60,isolation_forest,completed,0.1226053639846743,0.8888888888888888,0.2154882154882154,0.2578894835666946,0.6725768321513002,0.8120567375886525,556.0,481.0,0.0848748427672961,<repo>/outputs\window_size_study\300s\ready_packages\isolation_forest,<repo>/outputs\window_size_study\300s\ready_packages\isolation_forest\metrics.json,,,,,,,,,,,,,,,,,,,,
canonical_benchmark_test_split,canonical,300s,300,60,threshold_baseline,completed,0.2872340425531915,0.75,0.4153846153846154,0.6835712280913845,0.7570921985815603,0.2375886524822695,614.3333333333334,661.0,0.0041578616287981,<repo>/outputs\window_size_study\300s\ready_packages\threshold_baseline,<repo>/outputs\window_size_study\300s\ready_packages\threshold_baseline\metrics.json,,,,,,,,,,,,,,,,,,,,
canonical_benchmark_test_split,canonical,300s,300,60,lstm,completed,0.3333333333333333,1.0,0.5,0.5265151515151515,0.9834558823529412,0.0294117647058823,871.0,841.0,0.0294086956642601,<repo>/outputs\window_size_study\300s\ready_packages\lstm,<repo>/outputs\window_size_study\300s\ready_packages\lstm\metrics.json,,,,,,,,,,,,,,,,,,,,
canonical_benchmark_test_split,extension,300s,300,60,ttm_extension,not_run,,,,,,,,,,,,No evidenced TTM benchmark artifact exists for this window in the repo.,,,,,,,,,,,,,,,,,,,
canonical_benchmark_test_split,extension_blocked,300s,300,60,arima,not_implemented,,,,,,,,,,,,No ARIMA detector implementation exists in the repository.,,,,,,,,,,,,,,,,,,,
canonical_benchmark_test_split_extension,extension,5s,5,1,lstm_autoencoder,completed,0.015270164447924823,0.10833333333333334,0.026767330130404943,0.05736834579100535,0.07047505307855628,0.8009554140127388,32438.0,32438.0,0.025272199999952658,,,LSTM autoencoder extension trained on benign canonical residual windows. It is distinct from the existing MLP autoencoder and does not alter canonical model selection.,0.8434221417544274,validation_f1_sweep,64.0,12.0,2.0653975999994145,0.0884526999998343,45440.0,181760.0,3500.0,360.0,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_5s_canonical_test.parquet,39.0,2515.0,625.0,321.0,5000.0,2500.0,3500.0,
canonical_benchmark_test_split_extension,extension,10s,10,2,lstm_autoencoder,completed,0.016660999659979598,0.13687150837988826,0.029705971506517128,0.05988022782993113,0.08298276370955411,0.9204328453214513,32428.0,32428.0,0.02803451428605643,,,LSTM autoencoder extension trained on benign canonical residual windows. It is distinct from the existing MLP autoencoder and does not alter canonical model selection.,0.6819723702942194,validation_f1_sweep,64.0,12.0,1.900055500000235,0.0981208000011975,45440.0,181760.0,3500.0,358.0,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_10s_canonical_test.parquet,49.0,2892.0,250.0,309.0,5000.0,2500.0,3500.0,
canonical_benchmark_test_split_extension,extension,60s,60,12,lstm_autoencoder,completed,0.00851063829787234,0.05333333333333334,0.014678899082568808,0.05432579519642723,0.07226093402520387,0.6908821349147517,30516.0,30516.0,0.031222014677150654,,,LSTM autoencoder extension trained on benign canonical residual windows. It is distinct from the existing MLP autoencoder and does not alter canonical model selection.,1.2051798570688874,validation_f1_sweep,64.0,12.0,1.5338844999987487,0.04680180000104883,45440.0,181760.0,1499.0,150.0,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_60s_canonical_test.parquet,8.0,932.0,417.0,142.0,3969.0,1418.0,1499.0,
canonical_benchmark_test_split_extension,extension,300s,300,60,lstm_autoencoder,completed,0.08,0.4117647058823529,0.1339712918660287,0.16131188344116765,0.39847184425371573,0.5729537366548043,1860.0,1860.0,0.02082317460296927,,,LSTM autoencoder extension trained on benign canonical residual windows. It is distinct from the existing MLP autoencoder and does not alter canonical model selection.,1.1312811527571869,validation_f1_sweep,64.0,4.0,0.16996929999913846,0.00655929999993532,45440.0,181760.0,315.0,34.0,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_300s_canonical_test.parquet,14.0,161.0,120.0,20.0,766.0,273.0,315.0,
