artifact_path,artifact_type,phase,exists,nonempty,last_modified,referenced_by_reports,needs_verification,notes
outputs/window_size_study/5s/reports/isolation_forest/threshold_visualization.png,figure,phase1,True,True,2026-04-18 23:49:38.438335180,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/isolation_forest/training_validation_loss.png,figure,phase1,True,True,2026-04-18 23:49:38.303335428,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/latency_metrics.csv,table,phase1,True,True,2026-04-19 10:44:09.586707830,,True,
outputs/window_size_study/5s/reports/llm_baseline/anomaly_score_distribution.png,figure,phase1,True,True,2026-04-19 10:44:09.130428076,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/llm_baseline/confusion_matrix.png,figure,phase1,True,True,2026-04-19 10:44:08.994194031,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/llm_baseline/precision_recall_curve.png,figure,phase1,True,True,2026-04-19 10:44:08.920699596,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/llm_baseline/roc_curve.png,figure,phase1,True,True,2026-04-19 10:44:08.822771311,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/llm_baseline/threshold_visualization.png,figure,phase1,True,True,2026-04-19 10:44:09.405760527,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/llm_baseline/training_validation_loss.png,figure,phase1,True,True,2026-04-19 10:44:09.223462105,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/lstm/anomaly_score_distribution.png,figure,phase1,True,True,2026-04-19 03:16:50.761265993,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/lstm/confusion_matrix.png,figure,phase1,True,True,2026-04-19 03:16:50.497460365,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/lstm/precision_recall_curve.png,figure,phase1,True,True,2026-04-19 03:16:50.380442381,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/lstm/roc_curve.png,figure,phase1,True,True,2026-04-19 03:16:50.116303205,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/lstm/threshold_visualization.png,figure,phase1,True,True,2026-04-19 03:16:51.238990307,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/lstm/training_validation_loss.png,figure,phase1,True,True,2026-04-19 03:16:50.947710276,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/model_summary.csv,table,phase1,True,True,2026-04-19 10:44:09.580016851,FINAL_EXPERIMENT_NOTES.md;reports/generated_report.md,True,
outputs/window_size_study/5s/reports/model_sweep_results.csv,table,phase1,True,True,2026-04-19 10:44:09.582204580,,True,
outputs/window_size_study/5s/reports/per_scenario_metrics.csv,table,phase1,True,True,2026-04-19 10:44:09.583711386,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/threshold_baseline/anomaly_score_distribution.png,figure,phase1,True,True,2026-04-18 23:49:21.431173563,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/threshold_baseline/confusion_matrix.png,figure,phase1,True,True,2026-04-18 23:49:21.287173271,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/threshold_baseline/precision_recall_curve.png,figure,phase1,True,True,2026-04-18 23:49:21.210174561,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/threshold_baseline/roc_curve.png,figure,phase1,True,True,2026-04-18 23:49:21.124173641,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/threshold_baseline/threshold_visualization.png,figure,phase1,True,True,2026-04-18 23:49:21.648252487,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/threshold_baseline/training_validation_loss.png,figure,phase1,True,True,2026-04-18 23:49:21.515174389,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/transformer/anomaly_score_distribution.png,figure,phase1,True,True,2026-04-19 09:32:34.864531517,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/transformer/confusion_matrix.png,figure,phase1,True,True,2026-04-19 09:32:34.725636005,reports/generated_report.md,True,
