column_name,category,source_artifact,used_in_training,metadata_or_feature,residualized
delta__regulator_creg4b_tap_pos__last,regulator,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__regulator_creg4b_tap_pos__max,regulator,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__regulator_creg4b_tap_pos__mean,regulator,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__regulator_creg4b_tap_pos__min,regulator,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__bess_bess108_available_charge_kw__last,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_available_charge_kw__max,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_available_charge_kw__mean,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_available_charge_kw__min,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_available_charge_kw__std,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_available_discharge_kw__last,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_available_discharge_kw__max,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_available_discharge_kw__mean,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_available_discharge_kw__min,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_available_discharge_kw__std,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_energy_kwh__last,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_energy_kwh__max,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_energy_kwh__mean,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_energy_kwh__min,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_energy_kwh__std,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
